what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1471323843908
started,bundle,org.eclipse.jst.jee,1.0.402.v201202021530,"org.eclipse.jst.jee",1471323845776
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1471323845811
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1471323845989
started,bundle,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.ui",1471323845991
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1471323846215
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471323846391
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1471323846691
started,bundle,org.eclipse.jst.jsf.core,1.3.105.v201108261005,"org.eclipse.jst.jsf.core",1471323846697
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1471323846817
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1471323846981
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1471323847006
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1471323847091
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471323866357
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1471323866427
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1471323866427
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471323875084
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1471323875386
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1471323875577
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471323875642
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1471323879870
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471323882255
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471323882464
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471323888329
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471323889104
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471323892398
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471323896371
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1471323904565
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.2.v201201260000,"org.eclipse.jpt.jaxb.ui",1471323904581
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1471323904659
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1471323904781
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1471323904804
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1471323904909
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1471323904933
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1471323905778
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1471323906157
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1471323978580
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1471323979510
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471323980134
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471324067114
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471324068426
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471326608113
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471326609341
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471327434773
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471327437442
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471327438947
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1471327447065
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1471327455163
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1471327458673
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1471327461175
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471327461874
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471328164783
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471328166880
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471328197305
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471328197996
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471328202637
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471328204612
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471328204730
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471328204909
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471328206515
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471328209999
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471328224344
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471328226340
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471328525959
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1471328527802
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471328528060
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471328530110
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471328534580
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1471328537677
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471328538540
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471328539691
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471328544760
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471328563346
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471328563836
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471328564005
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471328566221
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471328569971
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1471328570807
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1471328571230
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1471328573734
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471328577186
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471328591776
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471328592192
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471328592376
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1471328594242
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471328594719
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1471328595158
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471328595499
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1471328600196
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471328604650
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1471328609968
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1471328613963
