what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1470800513942
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1470800513942
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1470800513943
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1470800513944
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1470800513946
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1470800513947
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1470800513948
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1470800513949
os,sysinfo,,,"win32",1470800513953
arch,sysinfo,,,"x86_64",1470800513953
ws,sysinfo,,,"win32",1470800513953
locale,sysinfo,,,"zh_CN",1470800513953
processors,sysinfo,,,"2",1470800513953
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1470800513953
java.runtime.version,sysinfo,,,"1.7.0_25-b17",1470800513953
java.specification.name,sysinfo,,,"Java Platform API Specification",1470800513953
java.specification.vendor,sysinfo,,,"Oracle Corporation",1470800513953
java.specification.version,sysinfo,,,"1.7",1470800513953
java.vendor,sysinfo,,,"Oracle Corporation",1470800513953
java.version,sysinfo,,,"1.7.0_25",1470800513953
java.vm.info,sysinfo,,,"mixed mode",1470800513953
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1470800513953
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1470800513953
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1470800513953
java.vm.specification.version,sysinfo,,,"1.7",1470800513953
java.vm.vendor,sysinfo,,,"Oracle Corporation",1470800513953
java.vm.version,sysinfo,,,"23.25-b01",1470800513953
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1470800513961
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1470800513968
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1470800514012
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1470800514054
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1470800514062
started,bundle,org.eclipse.jst.j2ee.web,1.1.502.v201202090300,"org.eclipse.jst.j2ee.web",1470800514067
started,bundle,org.eclipse.jst.j2ee.core,1.2.102.v201202090300,"org.eclipse.jst.j2ee.core",1470800514147
started,bundle,org.eclipse.jem,2.0.501.v201111030500,"org.eclipse.jem",1470800514207
